Algorithm, Input Type, Size, Time
RBSort, Random, 100, 10789587
BSTSort, Random, 100, 529341
QuickSort, Random, 100, 30582
RBSort, Nearly1%, 100, 243805
BSTSort, Nearly1%, 100, 281527
QuickSort, Nearly1%, 100, 71538
RBSort, Nearly5%, 100, 215929
BSTSort, Nearly5%, 100, 214557
QuickSort, Nearly5%, 100, 44785
RBSort, Nearly10%, 100, 205421
BSTSort, Nearly10%, 100, 197956
QuickSort, Nearly10%, 100, 31469
RBSort, Random, 1000, 1402436
BSTSort, Random, 1000, 554924
QuickSort, Random, 1000, 403123
RBSort, Nearly1%, 1000, 847100
BSTSort, Nearly1%, 1000, 1187805
QuickSort, Nearly1%, 1000, 917179
RBSort, Nearly5%, 1000, 622446
BSTSort, Nearly5%, 1000, 454846
QuickSort, Nearly5%, 1000, 164491
RBSort, Nearly10%, 1000, 382400
BSTSort, Nearly10%, 1000, 431410
QuickSort, Nearly10%, 1000, 92609
RBSort, Random, 10000, 3442340
BSTSort, Random, 10000, 2345873
QuickSort, Random, 10000, 597654
RBSort, Nearly1%, 10000, 3641911
BSTSort, Nearly1%, 10000, 7001502
QuickSort, Nearly1%, 10000, 607107
RBSort, Nearly5%, 10000, 3905218
BSTSort, Nearly5%, 10000, 3138228
QuickSort, Nearly5%, 10000, 586815
RBSort, Nearly10%, 10000, 5307605
BSTSort, Nearly10%, 10000, 1989376
QuickSort, Nearly10%, 10000, 457864
RBSort, Random, 20000, 12316092
BSTSort, Random, 20000, 13558091
QuickSort, Random, 20000, 1164675
RBSort, Nearly1%, 20000, 2953753
BSTSort, Nearly1%, 20000, 9166425
QuickSort, Nearly1%, 20000, 1740827
RBSort, Nearly5%, 20000, 3696847
BSTSort, Nearly5%, 20000, 3356065
QuickSort, Nearly5%, 20000, 892238
RBSort, Nearly10%, 20000, 3040080
BSTSort, Nearly10%, 20000, 4152181
QuickSort, Nearly10%, 20000, 856082
RBSort, Random, 30000, 10441636
BSTSort, Random, 30000, 9775735
QuickSort, Random, 30000, 1817515
RBSort, Nearly1%, 30000, 4656045
BSTSort, Nearly1%, 30000, 14476243
QuickSort, Nearly1%, 30000, 2537589
RBSort, Nearly5%, 30000, 4608248
BSTSort, Nearly5%, 30000, 4922377
QuickSort, Nearly5%, 30000, 1684297
RBSort, Nearly10%, 30000, 4444779
BSTSort, Nearly10%, 30000, 7771907
QuickSort, Nearly10%, 30000, 1447532
RBSort, Random, 60000, 13223696
BSTSort, Random, 60000, 9668017
QuickSort, Random, 60000, 3649692
RBSort, Nearly1%, 60000, 6089528
BSTSort, Nearly1%, 60000, 29880287
QuickSort, Nearly1%, 60000, 6166974
RBSort, Nearly5%, 60000, 7011839
BSTSort, Nearly5%, 60000, 10592870
QuickSort, Nearly5%, 60000, 3005193
RBSort, Nearly10%, 60000, 9286437
BSTSort, Nearly10%, 60000, 9078292
QuickSort, Nearly10%, 60000, 2892530
RBSort, Random, 80000, 18456444
BSTSort, Random, 80000, 16044855
QuickSort, Random, 80000, 5099309
RBSort, Nearly1%, 80000, 12123072
BSTSort, Nearly1%, 80000, 86789232
QuickSort, Nearly1%, 80000, 11408906
RBSort, Nearly5%, 80000, 19871047
BSTSort, Nearly5%, 80000, 27157573
QuickSort, Nearly5%, 80000, 4211240
RBSort, Nearly10%, 80000, 12276532
BSTSort, Nearly10%, 80000, 14762428
QuickSort, Nearly10%, 80000, 3719866
RBSort, Random, 100000, 30535183
BSTSort, Random, 100000, 18908917
QuickSort, Random, 100000, 6232393
RBSort, Nearly1%, 100000, 10741623
BSTSort, Nearly1%, 100000, 105707174
QuickSort, Nearly1%, 100000, 9971653
RBSort, Nearly5%, 100000, 12938681
BSTSort, Nearly5%, 100000, 39093661
QuickSort, Nearly5%, 100000, 5871554
RBSort, Nearly10%, 100000, 16995825
BSTSort, Nearly10%, 100000, 21347949
QuickSort, Nearly10%, 100000, 5408121
